ANN_IMPST,TIPO_DICH_ACCERT,FLG_PRES_ADESIONE,INNESCO,TIPO_CONTROLLO,TIPOLOGIA_CON,FLG_PRES_RICORSO,SETT_IMP,PESO,PESO_ADESIONE,AFFIDABILITA,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIM_DA_RES_AUT,RIMB_NON_CONC,RIMB_NON_CONC_DEF,RIMB_NON_CONC_AUT,CREDITO_NON_RIC_AUT,DEBITO_IMPOSTA_AUT,IVA_OP_IMPON_DIC,CREDITI_IVA_DIC,VOL_AFF_DICH,VOL_ACC_DEF,DETR_IVA_DIC,DETR_IVA_ACC,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_ACC,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_ACC,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,COD_MOD_DICH,COD_CLASSE_VOLUME,IMP_BEN_AMM,IMP_BEN_NO_AMM,IMP_BENI_ALTRI,IMP_INTRA_IMPOST,IMP_IMPOR_IMPON,IMP_IMPOR_IMPOST,IMP_ESPORTAZ,IMP_OPER_INT,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CESS_BENI,IMP_VE_VOLAFF,IMP_ACQ_NOIMP,IMP_ACQ_ESENTI,IMP_ACQ_NODETR,IMP_OPER,IMP_IVA_DEB,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_CONSUM_IMPON,IMP_SOGG_IVA_IMPON,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,FLG_PRES_BILANCIO,COD_NATURA_GIUR,COD_STATO_DOC,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_PERD_CONTEC,IMP_RIM_FINALI,IMP_ESISTZ,IMP_IMPST_NETTA,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,cod_uff_prov_gen,cod_uff_ann_gen,imp_ricavi_comp_attiv,imp_tot_pos,imp_sps_prest_lavoro,imp_tot_neg,imp_redd_lrd_attiv,imp_redd_imp_attiv,VAR_CREDITO,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,CNR_S_AND_EXT_Obi
2002,3,1,1,1,1,1,4,35,0,3,2,10,0,0,0,0,0,0,0,-35277,35220,0,0,0,0,0,0,0,0,0,0,0,6,1,150459,0,27134,0,0,0,0,0,0,0,0,0,0,0,259,0,0,310,367,0,0,0,-177334,-177593,0,19.86,0,19.83,1,2,2,911,0,1,0,1,0,14627,0,0,0,0,0,0,0,GR,GR,0,0,1600,0,-15544,-15544,35278,0,35278,0,0,3
2003,3,0,AA,1,2,0,4,82,0,2,4,3,0,0,0,0,0,0,0,-357430,351964,616490,0,442462,48562,0,0,0,0,0,0,0,6,4,1523,0,692286,0,0,0,0,0,0,0,0,616490,0,0,1511,0,90498,0,1424,4042,0,0,-2044063,-2045574,14.68,16.63,14.68,16.62,1,2,2,911,0,1,0,8,0,3818,0,0,15778,0,0,9474,0,GR,GR,556490,0,52800,0,46407,46407,357430,320000,37421,706988,0,3
2001,3,0,1,1,1,0,4,35,0,3,3,21,0,0,0,0,0,0,0,-73885.87,73885.87,6274.95,6274.95,0,0,0,0,0,0,0,0,0,6,1,0,0,375705,0,0,0,0,0,0,0,0,6275,0,0,0,0,1255,207,207,0,0,0,-369430,-369430,20,20,20,20,1,2,2,911,0,1,0,10,0,405,0,0,0,0,0,0,0,GR,GR,31582,0,3942,0,-405,-405,38159,0,38159,7530,0,3
2002,3,0,2,1,2,0,4,30,0,3,4,21,0,0,0,0,0,0,0,-404394,404394,1272403,7120185,0,0,0,0,0,0,0,0,0,6,4,29284,0,598699,0,0,0,0,81179,0,0,0,1272403,0,0,0,0,237941,0,0,0,0,0,-2020695,-1939516,19.97,20,18.7,20,1,2,2,911,0,1,0,6,119791,0,0,0,72175,0,0,72175,0,GR,GR,6902582,0,81761,0,200486,200486,404394,0,404394,1510344,0,3
2003,3,0,2,1,2,0,4,30,0,3,4,21,0,0,0,0,0,0,0,-361687,176969,1904071,7445925,508143,508143,0,0,0,0,0,0,0,6,4,97527,0,260233,0,0,0,0,192235,0,5013,0,1904071,0,13273,6053,0,331174,219676,404394,0,0,0,-882381,-656153,19.97,20,17.39,19.85,1,2,2,911,0,1,0,6,56012,0,0,0,34270,0,0,0,37298,GR,GR,5042883,0,132725,0,100793,100793,361687,0,362418,2235245,0,3
2002,3,0,1,1,1,0,1,35,0,3,3,2,0,0,0,0,0,0,0,-18276,18276,0,0,0,0,0,0,0,0,0,0,0,6,1,24269,65749,2727,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,-93234,-93407,0,19.6,0,19.57,1,2,2,911,0,1,0,1,0,8028,0,0,0,1730,1509,0,1732,GR,GR,0,0,299,0,-32487,-32487,18276,0,18276,0,0,3
2004,2,0,AA,1,8,0,3,18,0,3,3,21,0,0,0,0,0,0,0,-400000,400000,1,1,400000,0,0,0,0,0,0,0,0,5,1,0,0,2000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1999999,-1999999,0,20,0,20,0,25,2,911,0,0,0,11,0,0,0,0,0,0,0,0,0,LI,LI,1,1,0,0,1,1,400000,0,400000,1,0,3
2004,2,0,AA,1,8,1,3,18,0,3,3,10,0,0,0,0,0,0,0,-400000,400000,1,0,400000,0,0,0,0,0,0,0,0,5,1,0,0,2000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1999999,-1999999,0,20,0,20,0,25,2,911,0,0,0,12,0,0,0,0,0,0,0,0,0,LI,LI,1,1,0,0,1,1,400000,0,400000,1,0,3
2003,2,0,AA,1,8,1,3,18,0,4,4,13,0,0,0,0,0,0,0,-99990,99990,50,0,100000,0,0,0,0,0,0,0,0,5,1,0,0,500000,0,0,0,0,0,0,0,0,50,0,0,0,0,10,0,0,0,0,0,-499950,-499950,20,20,20,20,0,25,2,911,0,0,1,16,0,0,0,0,0,0,0,0,0,LI,LI,50,50,0,500000,-499950,-499950,99990,0,99990,60,0,3
2004,2,0,AA,1,8,0,3,18,0,4,4,21,0,0,0,0,0,0,0,-199980,99990,50,50,100000,0,0,0,0,0,0,0,0,5,1,0,0,500000,0,0,0,0,0,0,0,0,50,0,0,0,0,10,0,99990,0,0,50,-499950,-499950,20,20,20,20,0,25,2,911,0,0,0,16,0,0,0,0,0,0,0,0,0,LI,LI,50,50,0,500000,-499950,-499950,199980,0,199980,60,0,3
